school,course_num,language,name,description
APPM,4650,"Python, Matlab",Intermediate Numerical Analysis 1,"Focuses on numerical solution of nonlinear equations, interpolation, methods in numerical integration, numerical solution of linear systems, and matrix eigenvalue problems. Stresses significant computer applications and software. Department enforced prerequisite: knowledge of a programming language."
APPM,4120,LaTex,Introduction to Operations Research,"Studies linear and nonlinear programming, the simplex method, duality, sensitivity, transportation and network flow problems, some constrained and unconstrained optimization theory, and the Kuhn-Tucker conditions, as time permits."
APPM,2350,Matlab,Calculus 3 for Engineers,"Covers multivariable calculus, vector analysis, and theorems of Gauss, Green, and Stokes."
MATH,4440,Python: Sage,Mathematics of Coding and Cryptography,"Gives an introduction, with proofs, to the algebra and number theory used in coding and cryptography. Basic problems of coding and cryptography are discussed."
MATH,3001,LaTex,Analysis 1,"Provides a rigorous treatment of the basic results from elementary Calculus. Topics include the topology of the real line, sequences of numbers, continuous functions, differentiable functions and the Riemann integral."
MATH,2001,LaTex,Introduction to Discrete Mathematics,"Introduces the ideas of rigor and proof through an examination of basic set theory, existential and universal quantifiers, elementary counting, discrete probability, and additional topics."
MATH,3430,Matlab,Ordinary Differential Equations,"Involves an elementary systematic introduction to first-order scalar differential equations, nth order linear differential equations, and n-dimensional linear systems of first-order differential equations. Additional topics are chosen from equations with regular singular points, Laplace transforms, phase plane techniques, basic existence and uniqueness and numerical solutions. Formerly MATH 4430."
MATH,2135,LaTex,Introduction to Linear Algebra for Mathematics Majors,"Examines basic properties of systems of linear equations, vector spaces, inner products, linear independence, dimension, linear transformations, matrices, determinants, eigenvalues, eigenvectors and diagonalization. Intended for students who plan to major in Mathematics.  Formerly"
CSCI,4593,"Risc-V, C, Linux (Bash)",Computer Organization,"Studies computer design at the gate level. Discusses instruction set architecture design, arithmetic and logic unit design, control logic, memory design and caches, simple pipelining,  I/O and peripheral devices. Briefly covers aspects of modern computer architecture, such as multicore processors and cache coherence for these."
CSCI,4448,"Java, JUnit",Object-Oriented Analysis and Design,"An applied analysis and design class that addresses the use of object-oriented techniques. Topics include domain modeling, use cases, architectural design and modeling notations. Students apply the techniques in analysis and design projects."
CSCI,3308,"Javascript, HTML, CSS, Postgresql, ...",Software Development Methods and Tools,"Covers tools and techniques for successful software development with a strong focus on best practices used in industry. Students work in small teams to complete a semester-long application development project. Students learn front-end design and construction using HTML &amp; CSS, back-end database design and construction, and full-stack integration. Students gain exposure to agile methodologies, web services, distributed version control, requirements definition, automated integration testing, and cloud-based application deployment."
CSCI,3202,Python,Introduction to Artificial Intelligence,"Surveys artificial intelligence techniques of search, knowledge representation and reasoning, probabilistic inference, machine learning, and natural language."
CSCI,3753,"C, Linux (Bash)",Design and Analysis of Operating Systems,"Analyzes the software that extends hardware to provide a computing environment, including the role of linkers, file systems, resource sharing, security and networking. Studies the history of operating system organization and design and their influence on security, functionality and reliability."
CSCI,2824,Python,Discrete Structures,"Covers foundational materials for computer science that is often assumed in advanced courses. Topics include set theory, Boolean algebra, functions and relations, graphs, propositional and predicate calculus, proofs, mathematical induction, recurrence relations, combinatorics, discrete probability. Focuses on examples based on diverse applications of computer science."
CSCI,3104,"C++, Python",Algorithms,"Covers the fundamentals of algorithms and various algorithmic strategies, including time and space complexity, sorting algorithms, recurrence relations, divide and conquer algorithms, greedy algorithms, dynamic programming, linear programming, graph algorithms, problems in P and NP, and approximation algorithms."
CSCI,2400,C,Computer Systems,"Covers how programs are represented and executed by modern computers, including low-level machine representations of programs and data, an understanding of how computer components and the memory hierarchy influence performance."
CSCI,2270,C++,Computer Science 2: Data Structures,"Studies data abstractions (e.g., stacks, queues, lists, trees, graphs, heaps, hash tables, priority queues) and their representation techniques (e.g., linking, arrays). Introduces concepts used in algorithm design and analysis including criteria for selecting data structures to fit their applications."
CSCI,3155,Scala,Principles of Programming Languages,"Studies fundamental principles governing the design and analysis of programming languages and the execution models underlying them. Explores a variety of concepts including values, scoping, recursion, higher-order functions, type systems, control structures, and objects. Introduces the notion of formal semantics as a framework to understanding  programming features."
ECON,4848,Stata,Applied Econometrics,"Introduces students to the practice of applied regression analysis. Summarizes and reviews the regression technique, explores U.S. census data sources, introduces an advanced statistical software package and provides structured exercises in regression analysis of census data. Concludes with independent research projects analyzing social and economic issues using regression analysis and census data."
ECON,3818,"R, R-Studio",Introduction to Statistics with Computer  Applications,Introduces statistical methods and their applications in quantitative economic analysis.
ECON,4697, ,Industrial Organization and Regulation,"Explores neoclassical theory of the firm, the determinants of industrial structure, and the purposes and institutions of public policy to control or maintain a competitive environment."
ECON,4423, ,International Finance,"Covers balance of payments; foreign exchange market, income, trade, and capital flows; asset markets adjustment mechanisms; stabilization policies in an open economy; and problems of international monetary systems."
ECON,3080, ,Intermediate Macroeconomic Theory,"Introduces theories of aggregate economic activity including the determination of income, employment, and prices; economic growth; and fluctuations. Macroeconomic policies are explored in both closed and open economy models."
ECON,3070, ,Intermediate Microeconomic Theory,"Explores theory and application of models of consumer choice, firm and market organization, and general equilibrium. Extensions include intertemporal decisions, decisions under uncertainty, externalities, and strategic interaction."
ECON,2020, ,Principles of Macroeconomics,"Provides an overview of the economy, examining the flows of resources and outputs and the factors determining the levels of income and prices. Explores policy problems of inflation, unemployment and economic growth."
ECON,2010, ,Principles of Microeconomics,"Examines basic concepts of microeconomics or the behavior and the interactions of individuals, firms and government. Topics include determining economic problems, how consumers and businesses make decisions, how markets work, and how they fail and how government actions affect markets."
ECON,3274, ,International Economics,"Studied how global businesses are impacted by real world developments in economics, politics, and finance; emphasis on globalization, trade and investment, the global marketplace and monetary system."
